Name,Twitter-Handle,Party,Gender
Bicchielli Pino,PBicchielli,Noi moderati,M
Cavo Ilaria,IlariaCavo,Noi moderati,F
Cesa Lorenzo,L_Cesa,Noi moderati,M
Colucci Alessandro,AleColucci1,Noi moderati,M
Lupi Maurizio,Maurizio_Lupi,Noi moderati,M
Pisano Calogero,lillopisano,Noi moderati,M
Romano Francesco Saverio,SaverioRomano,Noi moderati,M
Semenzato Martina,SemenzatoMarti,Noi moderati,F
Tirelli Franco,tirellifranco,Noi moderati,M
Amendola Vincenzo,amendolaenzo,Partito Democratico,M
Ascani Anna,AnnaAscani,Partito Democratico,F
Bakkali Ouidad,BakkaliOuidad,Partito Democratico,F
Barbagallo Anthony Emanuele,Ant_Barbagallo,Partito Democratico,M
Berruto Mauro,mauroberruto,Partito Democratico,M
Boldrini Laura,lauraboldrini,Partito Democratico,F
Bonafè Simona,simonabonafe,Partito Democratico,F
Braga Chiara,bragachiara,Partito Democratico,F
Carè Nicola,careitaly,Partito Democratico,M
Casu Andrea,andcasu,Partito Democratico,M
Ciani Paolo,ROMA_News,Partito Democratico,M
Cuperlo Gianni,giannicuperlo,Partito Democratico,M
Curti Augusto,augustocurtipd,Partito Democratico,M
D'Alfonso Luciano,lucianodalfonso,Partito Democratico,M
De Luca Piero,Piero_De_Luca,Partito Democratico,M
De Maria Andrea,andreademaria_,Partito Democratico,M
De Micheli Paola,paola_demicheli,Partito Democratico,F
Di Biase Michela,MichelaDiBiase1,Partito Democratico,F
Di Sanzo Christian Diego,chrisdisanzo,Partito Democratico,M
Fassino Piero,pierofassino,Partito Democratico,M
Ferrari Sara,-----,Partito Democratico,F
Forattini Antonella,AForattini,Partito Democratico,F
Fornaro Federico,Fornaro62,Partito Democratico,M
Fossi Emiliano,emifossi,Partito Democratico,M
Furfaro Marco,marcofurfaro,Partito Democratico,M
Ghio Valentina,ValentinaGhio2,Partito Democratico,F
Gianassi Federico,GianassiFede,Partito Democratico,M
Girelli Gian Antonio,GianniGirelli,Partito Democratico,M
Gnassi Andrea,andreagnassi,Partito Democratico,M
Graziano Stefano,stefgraziano,Partito Democratico,M
Gribaudo Chiara,chiaragribaudo,Partito Democratico,F
Guerini Lorenzo,guerini_lorenzo,Partito Democratico,M
Guerra Maria Cecilia,mceciguerra,Partito Democratico,F
Iacono Giovanna,GiovannaIacono8,Partito Democratico,F
Lacarra Marco,marco_lacarra,Partito Democratico,M
Lai Silvio,silviolai,Partito Democratico,M
Laus Mauro Antonio Donato,Maurolaus,Partito Democratico,M
Letta Enrico,EnricoLetta,Partito Democratico,M
Madia Maria Anna,mariannamadia,Partito Democratico,F
Malavasi Ilenia,Ileniamalavasi,Partito Democratico,F
Mancini Claudio,clamancini,Partito Democratico,M
Manzi Irene,ManziIrene,Partito Democratico,F
Marino Maria Stefania,msmarino_pd,Partito Democratico,F
Mauri Matteo,mmauripd,Partito Democratico,M
Merola Virginio,virginiomerola,Partito Democratico,M
Morassut Roberto,RMorassut,Partito Democratico,M
Orfini Matteo,orfini,Partito Democratico,M
Orlando Andrea,AndreaOrlandosp,Partito Democratico,M
Pagano Ubaldo,NativiPd_provBa,Partito Democratico,M
Peluffo Vinicio Giusseppe Guido,Vpeluffo,Partito Democratico,M
Porta Fabio,fabioporta5,Partito Democratico,M
Provenzano Giuseppe,peppeprovenzano,Partito Democratico,M
Quartapelle Procopio Lia,LiaQuartapelle,Partito Democratico,F
Ricciardi Toni,toniricciardi,Partito Democratico,M
Roggiani Silvia,SilviaRoggiani,Partito Democratico,F
Rossi Andrea,andrearossi76,Partito Democratico,M
Sarracino Marco,Marco_Sarra,Partito Democratico,M
Scarpa Rachele,ScarpaRachele,Partito Democratico,F
Schlein Elly,ellyesse,Partito Democratico,F
Scotto Arturo,Arturo_Scotto,Partito Democratico,M
Serrachiani Debora,serracchiani,Partito Democratico,F
Simiani Marco,marcosimiani,Partito Democratico,M
Speranza Roberto,robersperanza,Partito Democratico,M
Stefanazzi Claudio Michele,-----,Partito Democratico,M
Stumpo Nicola,NicoStumpo,Partito Democratico,M
Tabacci Bruno,BrunoTabacci,Partito Democratico,M
Vaccari Stefano,Tetovaccari,Partito Democratico,M
Zan Alessandro,ZanAlessandro,Partito Democratico,M
Zingaretti Nicola,nzingaretti,Partito Democratico,M
Paita Raffaella,raffaellapaita,Azione - Italia Viva,F
Gelmini Mariastella,msgelmini,Azione - Italia Viva,F
Fregolent Silvia,SilviaFregolent,Azione - Italia Viva,F
Lombardo Marco,mlombardo81,Azione - Italia Viva,M
Scalfarotto Ivan,ivanscalfarotto,Azione - Italia Viva,M
Calenda Carlo,CarloCalenda,Azione - Italia Viva,M
Renzi Matteo,matteorenzi,Azione - Italia Viva,M
Sbrollini Daniela,DaniSbrollini,Azione - Italia Viva,F
Versace Giusy,GiusyVersace,Azione - Italia Viva,F
De Poli Antonio,AntonioDePoli,Noi moderati,M
Salvitti Giorgio,-----,Noi moderati,M
Borghese Mario Alejandro,MarioBorgheseOK,Noi moderati,M
Biancofiore Michaela,BiancofioreMiky,Noi moderati,F
Guidi Antonio,OnAntonioGuidi,Noi moderati,M
Petrenga Giovanna,-----,Noi moderati,F
Ronzulli Licia,LiciaRonzulli,Forza Italia,F
Alberti Caselati Maria Elisabetta,Min_Casellati,Forza Italia,F
Barachini Alberto,abarachini,Forza Italia,M
Berlusconi Silvio,berlusconi,Forza Italia,M
Bernini Anna Maria,BerniniAM,Forza Italia,F
Craxi Stefania Gabriella Anastasia,stefaniacraxi,Forza Italia,F
Damiani Dario,DamianiDario,Forza Italia,M
Fazzone Claudio,-----,Forza Italia,M
Gasparri Maurizio,gasparripdl,Forza Italia,M
Lotito Claudio,-----,Forza Italia,M
Miccichè Gianfranco,miccichesud,Forza Italia,M
Occhiuto Mario,-----,Forza Italia,M
Paroli Adriano,paroli_adriano,Forza Italia,M
Rosso Roberto,RobertoRosso67,Forza Italia,M
Silvestro Francesco,-----,Forza Italia,M
Sisto Francesco Paolo,fp_sisto,Forza Italia,M
Zanettin Pierantonio,PierantonioZ,Forza Italia,M
Zangrillo Paolo,Paolo_Zangrillo,Forza Italia,M
Ciriani Luca,ciriani_luca,Fratelli d'Italia,M
Rauti Isabella,isabellarauti,Fratelli d'Italia,F
Malan Lucio,LucioMalan,Fratelli d'Italia,M
Iannone Antonio,AntonioIannone,Fratelli d'Italia,M
Ambrogio Paola,AmbrogioPaola,Fratelli d'Italia,F
Amidei Bartolomeo,amideibart,Fratelli d'Italia,M
Ancorotti Renato,AncorottiR,Fratelli d'Italia,M
Augello Andrea,-----,Fratelli d'Italia,M
Balboni Alberto,balboni_alberto,Fratelli d'Italia,M
Barcaiuolo Michele,barcaiuolo,Fratelli d'Italia,M
Berrino Gianni,GBerrino,Fratelli d'Italia,M
Bucalo Carmela,-----,Fratelli d'Italia,F
Butti Alessio,-----,Fratelli d'Italia,M
Calandrini Nicola,calandriniLT,Fratelli d'Italia,M
Campione Susanna Donatella,-----,Fratelli d'Italia,F
Castelli Guido,guidocastelli65,Fratelli d'Italia,M
Cosenza Giulia,-----,Fratelli d'Italia,F
De Carlo Luca,decarlosindaco,Fratelli d'Italia,M
De Priamo Andrea,AndreaDePriamo,Fratelli d'Italia,M
Della Porta Costanzo,costanzodporta,Fratelli d'Italia,M
Fallucchi Anna Maria,AnnaFallucchi,Fratelli d'Italia,F
Farolfi Marta,-----,Fratelli d'Italia,F
Fazzolari Giovanbattista,-----,Fratelli d'Italia,M
Garnero Santanchè Daniela,DSantanche,Fratelli d'Italia,F
Gelmetti Matteo,-----,Fratelli d'Italia,M
La Pietra Patrizio Giacomo,LaPietraSenato,Fratelli d'Italia,M
La Russa Ignazio,Ignazio_LaRussa,Fratelli d'Italia,M
Leonardi Elena,-----,Fratelli d'Italia,F
Liris Guido Quintino,guido_liris,Fratelli d'Italia,M
Lisei Marco,Marcolisei,Fratelli d'Italia,M
Maffoni Gianpietro,GianpietroMaffo,Fratelli d'Italia,M
Mancini Paola,-----,Fratelli d'Italia,F
Marcheschi Paolo,MarcheschiPaolo,Fratelli d'Italia,M
Matera Domenico,-----,Fratelli d'Italia,M
Melchiorre Filippo,FMelchiorre,Fratelli d'Italia,M
Menia Roberto,robertomenia,Fratelli d'Italia,M
Mennuni Lavinia,MennuniLavinia,Fratelli d'Italia,F
Mieli Ester,-----,Fratelli d'Italia,F
Musumeci Nello,Nello_Musumeci,Fratelli d'Italia,M
Nastri Gaetano,-----,Fratelli d'Italia,M
Nocco Vita Maria,-----,Fratelli d'Italia,F
Orsomarso Fausto,FOrsomarso,Fratelli d'Italia,M
Pera Marcello,-----,Fratelli d'Italia,M
Petrucci Simona,-----,Fratelli d'Italia,F
Pogliese Salvo,-----,Fratelli d'Italia,M
Rapani Ernesto,RapaniErnesto,Fratelli d'Italia,M
Rastrelli Sergio,-----,Fratelli d'Italia,M
Rosa Gianni,GianniRosa65,Fratelli d'Italia,M
Russo Raoul,raoulrusso,Fratelli d'Italia,M
Sallemi Salvatore,-----,Fratelli d'Italia,M
Satta Giovanni,-----,Fratelli d'Italia,M
Scurria Marco,MarcoScurria,Fratelli d'Italia,M
